id_cliente,Alimentos,Casa,Eletronicos,Livros,Roupas,frequencia,churn
1,514.98,448.08,0.0,171.67,543.5600000000001,14,1
2,259.85,252.72,0.0,79.24,286.71,5,0
3,183.22,1219.7,461.09,264.48,1294.0900000000001,19,1
4,51.79,0.0,358.65,0.0,0.0,2,0
5,613.29,519.09,1284.53,110.76,282.90999999999997,15,1
6,196.10999999999999,709.8399999999999,0.0,112.97,0.0,6,0
7,352.31,745.0600000000001,1856.5,194.73,523.67,19,1
8,140.93,270.25,0.0,0.0,0.0,2,0
9,579.51,770.8,308.25,229.9,257.8,13,1
10,0.0,0.0,0.0,0.0,387.48,2,0
11,683.69,308.23,2522.2,380.45,760.65,19,1
12,0.0,269.03,0.0,70.88,0.0,2,0
13,445.05000000000007,1330.28,1281.19,272.81,0.0,15,1
14,46.36,0.0,564.43,0.0,0.0,2,0
15,0.0,183.43,3530.09,264.78999999999996,1106.53,13,1
16,101.14,427.52,0.0,23.88,112.37,5,0
17,429.75,479.63,1892.1799999999998,74.85,220.83,13,1
18,0.0,0.0,0.0,0.0,380.29999999999995,2,0
19,216.02999999999997,1307.6,2467.07,62.13,238.47,13,1
20,0.0,572.3299999999999,716.35,57.46,482.81,6,0
21,230.32,1138.6,1997.76,91.67,536.9,15,1
22,0.0,648.41,0.0,61.79,371.25,5,0
23,232.32,1542.01,917.1999999999999,460.56,0.0,15,1
24,0.0,661.06,269.14,0.0,154.8,4,0
25,281.31,663.04,2734.02,207.99,369.97,14,1
26,158.51,420.26,865.09,0.0,394.5,7,0
27,376.03,974.4499999999999,3965.93,115.36000000000001,513.13,19,1
28,0.0,416.21,443.75,221.75,0.0,5,0
29,320.04999999999995,535.11,2101.2200000000003,0.0,619.13,10,1
30,39.76,887.1800000000001,642.13,101.29,0.0,6,0
31,327.46,390.69,1230.47,220.59,302.64,12,1
32,86.24,337.71,0.0,118.05,323.93,6,0
33,191.95,408.41,1605.97,115.71,1111.93,13,1
34,337.81,0.0,0.0,54.57,196.5,5,0
35,185.36,115.48,2607.3599999999997,141.25,405.4,12,1
36,355.75,0.0,0.0,0.0,471.93,5,0
37,59.86,0.0,3042.08,89.41000000000001,556.45,9,1
38,0.0,0.0,742.68,84.59,464.91999999999996,6,0
39,412.26,809.52,2089.7799999999997,189.82999999999998,611.47,18,1
40,24.59,356.27,0.0,92.23,220.96,7,0
41,371.5,512.77,2356.75,257.05,0.0,12,1
42,262.71000000000004,0.0,0.0,51.62,142.04,4,0
43,407.45,272.94,954.8799999999999,0.0,257.53,8,0
44,154.61,500.14,662.52,65.7,238.24,7,0
45,253.23000000000002,868.16,0.0,208.38,719.8,11,1
46,187.44,465.12,0.0,111.88,298.44,5,0
47,124.39,642.92,1889.5,131.25,0.0,10,1
48,185.75,0.0,269.98,73.74,0.0,3,0
49,292.77,461.68,2444.33,242.14000000000001,165.02,14,1
50,259.49,593.6700000000001,0.0,0.0,0.0,6,0
